Source,URL,Category,Sub-Category,Region,Start Date,End Date,Description
Open datasets for Machine Learning,https://medium.com/datadriveninvestor/the-50-best-public-datasets-for-machine-learning-d80e9f030279,Data Catalog,,Global,,,"A site that helps you navigate other dataset sites and helps find datasets for machine learning. There are many sites listed, some of which are environmental and/or economics related. Importantly, this website can help you learn how to do machine learning which you may apply to other situations."
Google Dataset Search,https://datasetsearch.research.google.com/,Data Catalog,,Global,,,"Google Search for datasets with filters on what type of dataset, topics, format, usage rights, and updated information date."
UToronto Education Data List,https://guides.library.utoronto.ca/edu-data/edu-data-canadian,Data Catalog,,Canada,,,A brief and non-exhaustive catalog of Canadian data sources.
Plamen Nikolov's Useful Datasets for Development Economics Research,https://users.nber.org/~nikolovp/studentresources/datasets.pdf,Data Catalog,,Global,,,"A detailed list of micro and macro datasets for international, US, and UK data. Each dataset listed is described with Regions, data type (usually panel) and a 1 sentence description of the data available."
Yale Law - 75 Sources of Economic Data,https://library.law.yale.edu/news/75-sources-economic-data-statistics-reports-and-commentary,Data Catalog,,US,,,A website that looks much like this one with 75 links. The links are mostly to US department and Bureau websites for the US data with the addition of a few international sites. This site is may be useful if you are looking for environmental laws or regulations in the US.
Data in Economic History (Giuliano and Matranga 2020),https://www.nber.org/system/files/working_papers/w27967/w27967.pdf,Data Catalog,,Global,,,"A working paper that methodically explains where and how to find historical data for economics. From the abstract ""I...[W]e provide a comprehensive analysis of the types of historical data most commonly used in economic research and discuss a variety of issues that they raise, such as the constant change in national and administrative borders; the reshuffling of ethnic groups due to migration, colonialism, natural disasters, and many other forces. We also point out which methodological advances allow economists to overcome or minimize these problems."" If you are can not find data and are unsure of where it might be, this article is worth reading."
Our World in Data Electricity Generation,https://ourworldindata.org/grapher/electricity-generation,Energy,,Global,1985,2021,"Data from 1985 to 2021 on country and continent energy production for every country in the world. Our World in Data also has the cost of renewable energy, renewable energy by country, renewable energy produced by source, and many other data sets on energy."
U.S. Energy Information Administration (EIA),"https://www.eia.gov/energyexplained/electricity/electricity-in-the-us.php#:~:text=Most%20electricity%20is%20generated%20with,wind%20turbines%2C%20and%20solar%20photovoltaics.",Energy,,US,1950,2020,U.S. electricity generation data by source from 1950 to 2020.
Hourly Electric Grid Monitor (EIA),https://www.eia.gov/electricity/gridmonitor/dashboard/daily_generation_mix/US48/US48,Energy,,US,2018,2022,Hourly electricity production data for each state by electricity source. Data is available from 2018-2022.
Sea Around Us,http://www.seaaroundus.org/data/#/eez,Ocean,,Global,1950,2022,"This database estimates marine extractions for each country from 1950–present. The data can be disaggregated by industrial, artisanal, recreational, or subsistence sectors, by taxon, and by reported vs. unreported."
NOAA Commercial Fisheries Statistics,https://www.st.nmfs.noaa.gov/commercial-fisheries/,Ocean,,US,,,The National Oceanic and Atmospheric Administration (NOAA) maintains US fisheries landings and trade statistics. Additional US trade data is available through the US Census data portal.
UN Food and Agriculture: Fisheries and Aquaculture,https://www.fao.org/fishery/en/statistics/collections,Ocean,,Global,,,"Global statistics on aquaculture production, fishing capture, number of fishers, as well as data specific the regions such as Eastern Central Atlantic, Mediterranean, Southeast Atlantic, and others."
Climate Canada Historical Climate Data,http://climate.weather.gc.ca/,Weather,,Canada,1840,2022,"Data for Canadian weather from 1840 to 2022. Data is available at the Provincial level by weather station. Monthly normals, averages, and extremes are available from 1940 to 2010."
US NOAA Climate Data Online,http://www.ncdc.noaa.gov/cdo-web,Weather,,US,1901,2022,"U.S. local (land based) and global (coastal, oceanographic, geophysical, and climate) data for normals, temperature, precipitation. Data is available from 1901 to 2022 for many datasets."
Princeton gridded weather data,http://hydrology.princeton.edu/data.pgf.php,Weather,,Global,1901,2012,"This dataset provides near-surface meteorological data for driving land surface models and other terrestrial modeling systems. It blends reanalysis data with observations and disaggregates in time and space. The dataset is currently available at 1.0 degree (plus 0.5 and 0.25 degree), 3-hourly (plus daily and monthly) resolution globally for 1948-2008. Experimental updates include a 1901-2012 version (that will become V2), real-time updates, higher resolution versions for Africa (that assimilates all available gauge data) and future climate projections based on bias-corrected climate model output."
Berkeley Earth weather data,http://berkeleyearth.org/data/,Weather,,Global,1750,2022,"The datasets presented here have been divided into three categories: Output data, Source data, and Intermediate data. Data is available from 1750 for monthly land, 1833 for high and low temperature, and 1850 for monthly land+ ocean."
WorldClim,https://www.worldclim.org/,Weather,,Global,,,Global climate layers (gridded climate data) with a spatial resolution of about 1 km.
Pangeo weather and climate data,https://mldata.pangeo.io/#,Weather,,Global,,,"A mix of processed and raw files, includes historical (gridded) data and projections."
BC Air Quality Data,https://www2.gov.bc.ca/gov/content/environment/air-land-water/air/air-quality/current-air-quality-data,Pollution,Air,British Columbia,,,Air quality and particulate levels from BC monitoring stations across the province. Some datasets are over 2 GB to use and may be difficult or time consuming to open or clean.
US EPA Air Quality Data,https://www.epa.gov/outdoor-air-quality-data,Pollution,Air,US,1980,2020,"Data on particulates, pollution, wind direction, lead and more from 1980."
US EPA Air Markets Program Data,https://ampd.epa.gov/ampd/,Pollution,Air,US,1995,2022,"Emissions data by month, quarter, allowance transactions, allowance holdings, compliance, and SMOKE data from 1995 onwards."
EU EEA Air Pollution Data,https://www.eea.europa.eu/themes/air/explore-air-pollution-data,Pollution,Air,Europe,1969,2022,"Air quality data from 1969 (very limited), 1976 (somewhat limited) and 1990 (complete) onwards. Filtering by country, city, area, pollution type, year, pollution level are available. There is also a working map viewer (many other sites have them that do not work or barely work)."
London Air Quality Data (LAEI),https://data.london.gov.uk/air-quality/,Pollution,Air,London,2006,2022,High quality and very small area data for each London borough's air quality from 2006.
ProPublic Industrial Air Pollution Data (RSEI),https://www.propublica.org/article/were-releasing-the-data-behind-our-toxic-air-analysis,Pollution,Air,US,2014,2018,2014-2018 data on hot-spot zones in the US for cancer-causing industrial air pollution.
Canada National Long-term Water Quality Monitoring Data,https://open.canada.ca/data/en/dataset/67b44816-9764-4609-ace1-68dc1764e9ea,Pollution,Water,Canada,2000,2022,Various major water bodies in Canada pollution data from 2000 onwards.
USGS Water Quality Data,https://water.usgs.gov/owq/data.html,Pollution,Water,US,1995,2022,"Water quality data from 1995 onwards for river, lake, and coastal water pollution and quality data. Data is available through data sets and GIS shapefiles."
Freshwater ecosystems explorer,https://www.shttps://cfpub.epa.gov/ecotox/dg661.app/,Pollution,Water,Global,1984,2019,Global GIS data and time series data for all administrative areas and basins level 6. This dataset tracks all long-term changes in water-related ecosystems. This is an excellent resource. Data is for 1984-2019.
ECOTOX Knowledgebase,https://cfpub.epa.gov/ecotox/,Pollution,Water,US,,,"A Knowledgebase providing single chemical environmental toxicity data on aquatic life, terrestrial plants and wildlife. They track 12,485 chemicals across 13,709 species (plants and animals). Database has an excellent search function."
ECOTOX Models,https://www.ecotoxmodels.org/resources/databases/,Pollution,Water,US,,,"Lists of various models for the effects of pesticides, ECOTOX data, chemical properties, biodiversity, health from pesticides, and much more."
Eutrophication & Hypoxia Map Data Set,https://www.wri.org/data/eutrophication-hypoxia-map-data-set,Pollution,Water,Global,,,762 coastal areas impacted by eutrophication and/or hypoxia. Data is global and spans many decades depending on the country and site.
Global Biodiversity Information Facility,https://www.gbif.org/,Data Sites,Biodiversity,Global,,,"68,121 datasets on biodiversity on Global and local biodiversity."
Biological Diversity and Ecological Forecasting Data (NASA),https://earthdata.nasa.gov/learn/pathfinders/biodiversity,Biodiversity,,Global,,,"Forecasts for various climate change, ecological, biodiversity, water quality, green house gases, and other data available in data sets and GIS data."
Migratory Bird (USGS),https://www.usgs.gov/centers/patuxent-wildlife-research-center/science/migratory-birds,Biodiversity,,US,,,Data on migratory birds for various years in various regions of the U.S.
North American Breeding Bird Survey,https://www.pwrc.usgs.gov/bbs/,Biodiversity,,US & Canada,1960,2022,Breeding Bird data for the U.S. and Canada for over 400 bird species from the 1960s onward.
Biotime Database,https://biotime.st-andrews.ac.uk/,Biodiversity,,Global,,,"Global database of various time series for quantifying and understanding biodiversity change. Diversity in marine, terrestrial, and freshwater realms. There are hundreds of studies and millions of records."
International Disaster Database (EMDAT),https://www.emdat.be/,Natural Disasters,,Global,,,"Geophysical, Meteorological, Extreme Temperature, Hydrological, Climatological, Biological, Extraterrestrial (Space weather), Industrial accidents, transport accidents."
Hurricanes (HURDAT),https://www.nhc.noaa.gov/data/,Natural Disasters,,US,1958,2022,Hurricanes and cyclones in the US from 1958 onwards
Disaster Information Management System (DESINVENTAR),https://www.desinventar.net/,Natural Disasters,,Global,,,"The Administration and Data Entry module is a relational and structural database through which the database is fed by filling in predefined fields (space and temporal data, types of events and causes, sources) and by both direct and indirect effects (deaths, houses, infrastructure, economic sectors). The Analysis module allows access to the database by queries that may include relations among the diverse variables of effects, types of events, causes, sites, dates, etc. This module allows at the same time to represent those queries with tables, graphics and thematic maps. Data is mostly for developing countries and has a wide range of periods available depending on the country of interest."
NRCAN - Earthquakes,https://earthquakescanada.nrcan.gc.ca/stndon/NEDB-BNDS/index-en.php,Natural Disasters,,Canada,1600,2022,Earthquakes in Canada from the 16th century onwards
USGS - Earthquakes,https://www.usgs.gov/programs/earthquake-hazards/data,Natural Disasters,,US,1995,2022,U.S. earthquake from 1995 onwards and earthquake scenarios. Other data is available. More data may be available elsewhere on US earthquakes.
Inter-university Consortium for Political and Social Research(Open ICPSR),https://www.openicpsr.org/openicpsr/project/100167/version/V19/view;jsessionid=878E7D3C00D6B3A4072101B17FAA2A09,Beliefs,,US,2008,2022,Survey data on beliefs from 2008 onwards on Energy and the Environment in the U.S.
Questionnaire on Environment Statistics (UN),https://unstats.un.org/unsd/envstats/questionnaire,Beliefs,,Global,2004,2020,Surveys conducted biennially from 2004-2020 in countries without their own survey (Not for OECD or Eurostat countries).
The Global Resources Dataset (Mike Denly),https://mikedenly.com/datasets/global-resources-dataset,Resources,,Global,1988,2022,"Time-varying, spatial natural resource dataset that covers 197 resources in 116 countries (predominantly developing countries). Data starts in 1988 in some locations."
"EPA Facts and Figures on Materials, Wastes and Recycling",https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/studies-summary-tables-and-data-related,Waste,,US,1960,2018,"Reports on Waste, recycling, composting, food waste, landfills, electronic waste, and others at the state or county level depending on the dataset and from 1960-2018 depending on the variable."
StatCan Health Data,https://www.canada.ca/en/services/health/data.html,Health,,Canada,,,"Resources on the state of Canadians' health, including statistics, facts, reports and data. Data sets include exposure to chemicals, heavy metals, and other content related to environmental factors. Data is available for a different number of years for different datasets."
US HealthData,https://healthdata.gov/,Health,,US,,,Various data sets for health outcomes in the U.S. for a wide variety of health outcomes. Period of data availability ranges by dataset.
Institute for Health Metrics and Evaluation (IHME): Global Health Data Exchange (GHDx),http://ghdx.healthdata.org/,Health,,Global,,,"This data set provides estimates for health and demographic data using Bayesian models which are informed by a range of researcher, government, and NGO data. The estimates include uncertainty and the code generating the estimates is available. Among other estimates, the database contains estimates of deaths by cause (including protein-energy malnutrition, iodine deficiency, iron-deficiency anemia, and other nutritional deficiencies). There is good documentation for the estimates, but one must be careful to know what data went into the models so as not to test an effect when non-independent data were used in the estimate. The article describing the data includes a supplementary file detailing the estimation methods and can be found here."
The World Bank: Subnational Malnutrition,http://databank.worldbank.org/data/reports.aspx?source=subnational-malnutrition-database,Health,,Global,,2012,"Database with subnational estimates of child malnutrition (prevalence for stunting, underweight, overweight, wasting and severe wasting indicators) using available data up to 2012. Data can be accessed using an API. These statistics by quintile are available in the World Bank: Health Nutrition and Population Statistics by Wealth."
World Health Organization (WHO): Mortality Database,http://www.who.int/healthinfo/mortality_data/en/,Health,,Global,,,"The WHO Mortality Database is a compilation of mortality data by age, sex and cause of death, as reported annually by Member States from their civil registration systems."
IMF Global Economic Data,https://www.imf.org/en/Data,Economic,,Global,,,A huge number of data sets for nearly anything economic related for most countries in the world.
United States Department of Labor: Bureau of Labor Statistics,http://www.bls.gov/data/,Economic,,US,,,"This database consists of economic data for the United States, including data on on inflation, prices, and time use."
EORA World MRIO,http://worldmrio.com/**,Economic,,Global,1990,2015,"This global supply chain database consists of a multi-region input-output table with matching environmental and social satellite accounts for 190 countries. The database includes over 15,000 sectors for 1990-2015 and a range of environmental indicators, including GHG emissions, air pollution, energy use, water requirements, land occupation and N and P emissions."
The World Bank: Global Consumption Database,http://datatopics.worldbank.org/consumption/,Economic,,Global,,,"This database consists of data on household consumption patterns in developing countries based on household surveys. Four levels of consumption are used to segment the market in each country: lowest, low, middle, and higher. They are based on global income distribution data, which rank the global population by income per capita. More details on the data can be found here."
Bureau of Economic Analysis,https://www.bea.gov/data/gdp,Economic,,US,,,"This database includes a range of economic data for the US, including GDP, employment by industry, price indices, and international trade."
United Nations: COMTRADE,http://comtrade.un.org/,Economic,,Global,,,"This data is maintained by the United Nations and consists of reported bilateral trade data (annually and monthly) for commodities (using HS codes). This data is publicly available when accessing a limited number of records. A subscription allows bulk downloads and access to a derived data product produced by CEPII, the BACI trade data."
Urban Emissions in India,https://urbanemissions.info/india-air-quality/india-ncap-landcover-classification/,Economic,,India,1992,2020,India Landcover classification for Indian cities using data from the European Space Agency. Data from 1992-2020 for 132 non-attainment cities.
The Commodity Flow Survey (CFS),https://www.census.gov/programs-surveys/cfs.html,Economic,,US,,,"CFS has undertaken through a partnership between the Census Bureau and the Bureau of Transportation Statistics (BTS) is conducted every 5 years as part of the Economic Census. The CFS produces data on the movement of goods in the United States. It provides information on commodities shipped, their value, weight, and mode of transportation, as well as the origin and destination of shipments of commodities from manufacturing, mining, wholesale, and selected retail and services establishments."
Database of Political Institutions (Cesi Cruz),https://www.iadb.org/en/research-and-data/dpi2020,Political,,Global,1975,2020,Institutional and electoral results data for political economy for 180 countries from 1975-2020
SPID: State policy database,https://dataverse.harvard.edu/dataverse/spid,Political,,US,1691,2022,"Harvard's Dataverse hosts policy information that diffuses across U.S. states. It contains 4 datasets which have policies from 1691, 1912, or 1960 onwards."
World Carbon Pricing Database,https://github.com/g-dolphin/WorldCarbonPricingDatabase?fbclid=IwAR2odk12BTYHPM0mefXI1b5g2GlsG1GkFUCn1tWYT2Ci3UDvWARPJMA4FLo,Political,,Global,1990,2018,"198 national jurisdictions and 98 sub-national jurisdictions (50 U.S. States, 13 Canadian Provinces and Territories, Japanese Municipalities, 32 Chinese Provinces and Municipalities from 1990 to 2018."
The Intergovernmental Panel on Climate Change (IPCC): Climate Change Projection data,https://www.ipcc-data.org/,Projection,,Global,,,The IPCC produces several projections for climate change scenarios for socioeconomic data based on different potential scenarios.
Eurostat Waste Statistics,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Waste_statistics,Waste,,Europe,,,"European country statistics on waste production, waste management, recycling, and management of hazardous waste."
IPUMS International,https://international.ipums.org/international-action/sample_details,Economic,,Global,,,"Census data from 103 countries, 547 censuses and surveys, over 1 billion person records."
USGS EarthExplorer,https://earthexplorer.usgs.gov/,GIS,,Global,1984,2022,"A collection of satellite imagery data from government satellites from various space agencies. Data can be used to track land use changes, vegetation, wildfires, weather, temperature, and several other geographic variables. "
Canada Municipal Waste Management,https://www.canada.ca/en/environment-climate-change/services/managing-reducing-waste/municipal-solid/statistics-trends.html,Waste,,Canada,1998,2020,"Biennial surveys provides comprehensive information about waste generated by Canadians, waste disposed and diverted from landfills, and their sources. This information is collected from businesses that provide waste management services."
USGS Climate Model Projections,https://data.gov/climate/portals/,Projection,,Global,,,"US climate model projections intened for data innovators, those who want to use government data to ehlp others learn of the impacts of climate change, or make decisions in which climate change change plays a role. The large projections have been downscaled to be usable on domestic computers. "
Oil Production,https://ourworldindata.org/grapher/oil-production-by-country?country=QAT~OMN~SAU~NOR~IRQ~USA~ARE~CAN,Energy,,Global,1900,2022,Global oil production by country from when each country began producing or tracking their production. 
Carbon Pricing Dashboard,https://carbonpricingdashboard.worldbank.org/,Energy,,Global,1990,2022,"Type of tax, status of taxes, and juristiction of taxes for every country. 68 carbon pricing initiatives are available in 46 countries with 36 subnational jurisdictions. These initiatives cover 23% of global emissions."
Wildfire Incidents (FAMWEB),https://wfmi.nifc.gov/fire_reporting/annual_dataset_archive/index.html,Natural Disasters,,US,1972,2017,"Wildfire incident reports from all federal agencies, as captured in FAMWEB."
ICIS-AIR,https://www.epa.gov/enviro/icis-air-overview,Pollution,,US,,,Database of U.S. state and federal EPA inspections of facility environmental air quality violations. See: Cecato (2022).
Berkeley Air Pollution Data,https://berkeleyearth.org/air-pollution-overview/,Pollution,,Global,,,Global Historical Air Quality Data
NCEP/NARR Reanalysis Data,https://psl.noaa.gov/data/reanalysis/reanalysis.shtml,Weather,,Global,,,Gridded reanalysis data (32km cells)
TerraClimate,https://climatedataguide.ucar.edu/climate-data/terraclimate-global-high-resolution-gridded-temperature-precipitation-and-other-water,Weather,,Global,,,Gridded reanalysis data (4km cells)
NCAR Climate Data Guide,https://climatedataguide.ucar.edu/,Weather,,Global,,,Meta: Climate Data Guide
